pm2_5,city,co,pm10,level,o3,spider,so2,crawl_time,date,aqi,no2
106,,3.3,138,轻度污染,58,aqi_redisspider,71,2018-11-28 17:27:21.679000,2014-04-12,139,72
103,,2.4,0,轻度污染,142,aqi_redisspider,40,2018-11-28 17:27:21.681000,2014-04-13,135,49
53,,1.7,0,良,83,aqi_redisspider,25,2018-11-28 17:27:21.682000,2014-04-14,73,29
80,,2.7,100,轻度污染,38,aqi_redisspider,42,2018-11-28 17:27:21.691000,2014-04-15,107,59
80,,1.7,133,轻度污染,93,aqi_redisspider,64,2018-11-28 17:27:21.693000,2014-05-13,107,73
65,,1.5,132,良,92,aqi_redisspider,60,2018-11-28 17:27:21.694000,2014-05-14,91,63
63,,1.3,138,良,109,aqi_redisspider,57,2018-11-28 17:27:21.695000,2014-05-15,94,55
84,,2,166,轻度污染,88,aqi_redisspider,70,2018-11-28 17:27:21.696000,2014-05-16,112,76
109,,2,165,轻度污染,193,aqi_redisspider,74,2018-11-28 17:27:21.698000,2014-05-17,143,62
111,,2.2,162,轻度污染,197,aqi_redisspider,53,2018-11-28 17:27:21.699000,2014-05-18,145,63
100,,1.7,172,轻度污染,122,aqi_redisspider,74,2018-11-28 17:27:21.700000,2014-05-19,132,69
90,,1.4,199,轻度污染,162,aqi_redisspider,58,2018-11-28 17:27:21.701000,2014-05-20,125,66
80,,1.3,168,轻度污染,156,aqi_redisspider,54,2018-11-28 17:27:21.705000,2014-05-21,109,59
122,,1.4,149,中度污染,81,aqi_redisspider,28,2018-11-28 17:27:21.706000,2016-02-02,160,40
97,,1.2,122,轻度污染,98,aqi_redisspider,26,2018-11-28 17:27:21.708000,2016-02-03,128,46
118,,1.5,142,中度污染,101,aqi_redisspider,41,2018-11-28 17:27:21.709000,2016-02-04,155,71
132,,1.6,165,中度污染,116,aqi_redisspider,34,2018-11-28 17:27:21.709000,2016-02-05,175,50
54,,0.9,87,良,90,aqi_redisspider,23,2018-11-28 17:27:21.711000,2016-02-06,74,22
51,,0.7,91,良,75,aqi_redisspider,24,2018-11-28 17:27:21.712000,2016-02-07,71,18
97,,0.8,142,轻度污染,86,aqi_redisspider,32,2018-11-28 17:27:21.713000,2016-02-08,128,22
105,,1,128,轻度污染,93,aqi_redisspider,26,2018-11-28 17:27:21.714000,2016-02-09,138,30
79,,1.2,103,轻度污染,73,aqi_redisspider,31,2018-11-28 17:27:21.714000,2016-02-10,105,32
84,,0,0,轻度污染,0,aqi_redisspider,0,2018-11-28 17:27:21.719000,2014-06-11,112,0
94,,1.7,0,轻度污染,124,aqi_redisspider,43,2018-11-28 17:27:21.724000,2014-06-12,124,45
92,,1.4,192,轻度污染,142,aqi_redisspider,50,2018-11-28 17:27:21.728000,2014-06-13,122,53
77,,1.8,116,轻度污染,78,aqi_redisspider,53,2018-11-28 17:27:22.603000,2014-07-09,103,53
61,,1.8,115,良,101,aqi_redisspider,23,2018-11-28 17:27:22.604000,2014-07-10,83,44
160,,1.9,512,严重污染,59,aqi_redisspider,90,2018-11-28 17:27:22.637000,2014-03-18,412,68
110,,1.2,151,轻度污染,50,aqi_redisspider,74,2018-11-28 17:27:22.638000,2014-03-19,144,49
85,,1.6,163,轻度污染,69,aqi_redisspider,69,2018-11-28 17:27:22.640000,2014-03-20,113,56
109,,1.7,212,轻度污染,74,aqi_redisspider,86,2018-11-28 17:27:22.642000,2014-03-21,143,64
106,,1.5,166,轻度污染,86,aqi_redisspider,84,2018-11-28 17:27:22.650000,2014-03-22,139,65
64,,1,90,良,107,aqi_redisspider,25,2018-11-28 17:27:22.653000,2015-10-06,87,32
22,,0.6,27,优,88,aqi_redisspider,19,2018-11-28 17:27:22.655000,2015-10-07,44,24
32,,0.6,47,良,104,aqi_redisspider,16,2018-11-28 17:27:22.656000,2015-10-08,54,25
57,,0.7,105,良,109,aqi_redisspider,30,2018-11-28 17:27:22.659000,2015-10-09,78,31
38,,1.1,44,良,37,aqi_redisspider,23,2018-11-28 17:27:22.661000,2015-11-07,54,31
65,,1.2,79,良,50,aqi_redisspider,22,2018-11-28 17:27:22.675000,2015-11-08,88,30
48,,0.8,58,良,88,aqi_redisspider,30,2018-11-28 17:27:22.676000,2015-12-12,67,28
